neuron,soma_region,DG_MO_SEPTAL,DG_MO_TEMPORAL,DG_PO_SEPTAL,DG_PO_TEMPORAL,DG_SG_SEPTAL,DG_SG_TEMPORAL
202264_046.swc,700000005,2026.8978369560625,0.0,1450.1721503155923,0.0,235.87762914286984,0.0
202264_047.swc,700000005,2782.3284262817606,0.0,1366.9781701698082,0.0,887.5304115134252,0.0
202264_048.swc,700000005,2469.5185728491115,0.0,1881.0701370816678,0.0,634.9152955460789,0.0
202264_049.swc,700000005,2884.2002465969726,0.0,1063.6764613699236,0.0,252.19230292602765,0.0
202264_050.swc,700000005,3208.2080621987666,0.0,1809.635415320042,0.0,365.8023328988864,0.0
202264_051.swc,700000005,2495.5117813800016,0.0,2190.7279221999797,0.0,535.7668532325126,0.0
202264_052.swc,700000005,2635.8253022018803,0.0,1870.7840423535276,0.0,418.46294487510033,0.0
202264_053.swc,700000005,2094.2037873277195,0.0,1987.3410178678034,0.0,453.77759437808817,0.0
202264_054.swc,700000005,2657.9440524776874,0.0,2195.08926794125,807.4994597224545,231.37274077241406,0.0
202264_055.swc,700000005,2333.88876473193,0.0,1599.8187335876637,30.167705863811307,210.81964163378584,0.0
202264_056.swc,700000005,2294.936178844425,0.0,1764.051995491071,0.0,246.18249754646655,0.0
202264_057.swc,700000005,2049.8210075392476,414.9082041946723,1665.8748244071105,748.0114266766001,322.22863452936434,0.0
202264_058.swc,700000005,607.5461809272423,1692.5347688569682,1150.1472230936351,1127.113443191023,377.624214369531,99.73897801760621
202264_059.swc,700000005,349.9755455712459,1807.977414103088,407.89557641408487,267.8501838304264,72.23251995374466,142.20655762779776
202264_060.swc,700000006,218.2042565039193,2089.2971206192824,907.7823335989488,928.8619514909184,72.33840584720167,209.22316126738232
202264_061.swc,700000006,0.0,2327.712849198163,1031.8315604474708,2023.3838429362982,0.0,297.7764777052209
202264_062.swc,700000002,0.0,2559.502706003743,213.51820636080677,3005.8111823156078,0.0,121.57537255287457
202264_063.swc,700000005,1753.0573115558846,953.6068629095124,2459.1705517198398,627.5284359693367,289.8700185887001,47.77830370683427
202264_064.swc,700000005,2056.999189833083,22.246452505869573,2112.8862085859273,328.2605639081864,117.01979985711915,0.0
202264_065.swc,700000002,543.4266841123449,5051.183312067135,522.2654347821477,587.25276551813,319.5755522987998,1883.9534884248235
202264_066.swc,700000001,2186.5419570869667,0.0,2254.983048993153,84.81754673958814,233.49634833318416,0.0
202264_067.swc,700000001,2534.8883906242436,0.0,2346.9819788590316,51.886946158899214,623.4076045753573,0.0
202264_068.swc,700000005,2673.634481900476,0.0,2256.730274957108,0.0,324.9455270104093,0.0
202264_069.swc,700000005,2507.329510261123,0.0,1633.7712480795465,0.0,107.16403010632277,0.0
202264_070.swc,700000001,568.1822520047316,0.0,1912.4869657794068,0.0,553.9990922304315,0.0
202264_071.swc,700000005,2825.007901387674,0.0,2017.2255100589316,0.0,715.030220155107,0.0
202264_072.swc,700000005,2664.70166843573,0.0,1892.1952562348915,0.0,612.1209172219453,0.0
202264_073.swc,700000005,3100.693815993784,0.0,514.876482545256,0.0,543.5142017336958,0.0
202264_074.swc,700000005,3170.5173287115676,0.0,202.36000582133536,0.0,210.54619613271373,0.0
202264_085.swc,700000006,0.0,2459.963985423982,814.5957689505989,1869.2536333390299,0.0,567.8349701380729
202264_086.swc,700000005,1149.9052828590238,1836.6269052217822,1060.8055349045565,142.4959348641784,481.53342875883897,149.4863806206589
202264_087.swc,700000005,2079.470144781021,1347.9495002021858,1804.7110856197528,556.4337197737875,580.9398774445192,186.0739306467346
202264_088.swc,700000005,1865.5761433862315,890.2944898931167,1682.0899514182092,197.00730685243906,644.318533371359,48.78729440143062
202264_089.swc,700000006,66.8805348127234,3354.2596745296705,1991.3271489250037,825.438913064252,563.0992900106552,631.1926987191645
202264_090.swc,700000001,2147.7903938593563,0.0,2336.232492651056,263.54223913570735,112.06924011361201,0.0
202266_023.swc,700000005,2951.6897101491813,0.0,2646.534367964874,12.498880542201459,689.3711296596485,0.0
202266_024.swc,700000005,1602.6311704390473,0.0,2435.593630937749,0.0,250.94959870738367,0.0
202266_025.swc,700000001,3088.752634822709,0.0,1724.4117360606735,0.0,236.3654101383076,0.0
202266_026.swc,700000005,2634.3979487209904,0.0,1291.4446545083447,0.0,238.78791190723248,0.0
202266_027.swc,700000005,2342.1164993391767,0.0,1354.330510696953,0.0,219.3174100794671,0.0
202266_028.swc,700000005,2121.108927717291,0.0,227.7070804560806,0.0,230.15836234323447,0.0
202266_029.swc,700000005,2492.472744729738,0.0,149.42480012606637,0.0,198.29407469492665,0.0
202266_032.swc,700000005,1804.6286044183794,0.0,123.80088499841486,0.0,243.5177230035684,0.0
202266_033.swc,700000005,2673.439241070764,0.0,139.81582796864149,0.0,322.8471663237213,0.0
202266_034.swc,700000005,1977.53631653811,0.0,1466.2144012298788,0.0,640.7849609308603,0.0
